,date,type,year,avg_price,size,nb_sold
0,27-Dec-15,conventional,2015,0.95,small,9626901.09
1,20-Dec-15,conventional,2015,0.98,small,8710021.76
2,13-Dec-15,conventional,2015,0.93,small,9855053.66
3,12-Jun-15,conventional,2015,0.89,small,9405464.36
4,29-Nov-15,conventional,2015,0.99,small,8094803.56
5,22-Nov-15,conventional,2015,0.96,small,
6,15-Nov-15,conventional,2015,0.92,small,9907981.27
7,11-Aug-15,conventional,2015,0.97,small,9991330.31
8,11-Jan-15,conventional,2015,0.97,small,10138703.85
9,25-Oct-15,conventional,2015,1.04,small,8683958.8
10,18-Oct-15,conventional,2015,0.99,small,9162094.14
11,10-Nov-15,conventional,2015,1,small,8828340.53
12,10-Apr-15,conventional,2015,1.02,small,8353619.97
13,27-Sep-15,conventional,2015,1.03,small,8454208.8
14,20-Sep-15,conventional,2015,1.02,small,9422275.27
15,13-Sep-15,conventional,2015,1.03,small,9875018.48
16,09-Jun-15,conventional,2015,1.02,small,12569277.14
17,30-Aug-15,conventional,2015,1.07,small,11650976.87
18,23-Aug-15,conventional,2015,1.08,small,11283021.31
19,16-Aug-15,conventional,2015,1.05,small,12680252.48
20,08-Sep-15,conventional,2015,1.05,small,13003371.07
21,08-Feb-15,conventional,2015,1.09,small,12115233.76
22,26-Jul-15,conventional,2015,1.07,small,
23,19-Jul-15,conventional,2015,1.07,small,12742760.17
24,07-Dec-15,conventional,2015,1.07,small,12384449.4
25,07-May-15,conventional,2015,1.04,small,15643939.37
26,28-Jun-15,conventional,2015,1.06,small,13299568.71
27,21-Jun-15,conventional,2015,1.02,small,14699604.93
28,14-Jun-15,conventional,2015,0.98,small,
29,06-Jul-15,conventional,2015,1,small,16529797.6
30,31-May-15,conventional,2015,1.03,small,15503613.33
31,24-May-15,conventional,2015,1.04,small,16000107.8
32,17-May-15,conventional,2015,1.06,small,14615941.59
33,05-Oct-15,conventional,2015,1.02,small,16215328.75
34,05-Mar-15,conventional,2015,0.96,small,17787611.93
35,26-Apr-15,conventional,2015,1.07,small,13833715.28
36,19-Apr-15,conventional,2015,1.03,small,14251319.31
37,04-Dec-15,conventional,2015,1.02,small,14793354.18
38,04-May-15,conventional,2015,1.06,small,13939014.43
39,29-Mar-15,conventional,2015,1.04,small,12524637.04
40,22-Mar-15,conventional,2015,1.01,small,13697405.61
41,15-Mar-15,conventional,2015,1.04,small,13149988.71
42,03-Aug-15,conventional,2015,1.02,small,13013750.35
43,03-Jan-15,conventional,2015,0.97,small,13282222.98
44,22-Feb-15,conventional,2015,1.02,small,12628562.36
45,15-Feb-15,conventional,2015,1.03,small,12626615.3
46,02-Aug-15,conventional,2015,0.95,small,13308193.4
47,02-Jan-15,conventional,2015,0.89,small,18933038.04
48,25-Jan-15,conventional,2015,1.04,small,12167445.03
49,18-Jan-15,conventional,2015,1.03,small,11858139.34
50,01-Nov-15,conventional,2015,1.01,small,11544810.53
51,01-Apr-15,conventional,2015,0.95,small,12357161.34
52,25-Dec-16,conventional,2016,1,small,9255125.2
53,18-Dec-16,conventional,2016,0.96,small,9394065.91
54,12-Nov-16,conventional,2016,0.98,small,9009996.11
55,12-Apr-16,conventional,2016,1,small,11043350.9
56,27-Nov-16,conventional,2016,1.21,small,7891487.94
57,20-Nov-16,conventional,2016,1.27,small,8531160.52
58,13-Nov-16,conventional,2016,1.36,small,8235135.43
59,11-Jun-16,conventional,2016,1.44,small,7804252.91
60,30-Oct-16,conventional,2016,1.43,small,7100458.82
61,23-Oct-16,conventional,2016,1.34,small,7579629.06
62,16-Oct-16,conventional,2016,1.3,small,8810664.45
63,10-Sep-16,conventional,2016,1.27,small,9552502.48
64,10-Feb-16,conventional,2016,1.23,small,
65,25-Sep-16,conventional,2016,1.22,small,10548061.13
66,18-Sep-16,conventional,2016,1.15,small,11337829.1
67,09-Nov-16,conventional,2016,1.08,small,12962762.94
68,09-Apr-16,conventional,2016,1.04,small,14643465.52
69,28-Aug-16,conventional,,1.09,small,12561055.5
70,,conventional,2016,1.1,small,12725249.3
71,14-Aug-16,conventional,2016,1.12,small,12352932.68
72,08-Jul-16,conventional,2016,,small,12197105.36
73,31-Jul-16,conventional,2016,1.23,small,10168972.37
74,24-Jul-16,conventional,2016,1.2,small,10331314.28
75,17-Jul-16,conventional,2016,1.15,small,10320463.27
76,07-Oct-16,conventional,2016,1.1,small,11457080.38
77,07-Mar-16,conventional,2016,1.06,small,12508937.27
78,26-Jun-16,conventional,2016,1.04,small,12189035.17
79,19-Jun-16,conventional,2016,1.02,small,13488851.61
80,06-Dec-16,conventional,2016,1.04,small,12291686.69
81,06-May-16,conventional,2016,0.97,small,13808859.16
82,29-May-16,conventional,2016,,small,13682611.21
83,22-May-16,conventional,2016,0.93,small,11711999.81
84,15-May-16,conventional,2016,0.89,small,12447598.49
85,05-Aug-16,conventional,2016,0.82,small,14223304.98
86,05-Jan-16,conventional,2016,0.84,small,13748944.38
87,24-Apr-16,conventional,2016,0.87,small,12913697.19
88,17-Apr-16,conventional,2016,0.9,small,11954487.56
89,04-Oct-16,conventional,2016,0.9,small,12879820.47
90,04-Mar-16,conventional,2016,0.94,small,11320969.79
91,27-Mar-16,conventional,2016,0.94,small,11249198.4
92,20-Mar-16,conventional,2016,0.93,small,11134390.98
93,13-Mar-16,conventional,2016,0.93,small,11661687.44
94,03-Jun-16,conventional,2016,0.95,small,11824154.63
95,28-Feb-16,conventional,2016,0.91,small,11907394.72
96,21-Feb-16,conventional,2016,0.94,small,10015825.13
97,14-Feb-16,conventional,2016,0.88,small,11913078.3
98,02-Jul-16,conventional,2016,0.76,small,16573573.78
99,31-Jan-16,conventional,2016,0.93,small,11098088.49
100,24-Jan-16,conventional,2016,0.95,small,
101,17-Jan-16,conventional,2016,0.94,small,10036597.84
102,01-Oct-16,conventional,2016,0.93,small,11441286.89
103,,conventional,2016,0.86,small,11616506.17
104,31-Dec-17,conventional,2017,0.98,small,13109617.49
105,24-Dec-17,conventional,2017,1.18,small,10027319.18
106,17-Dec-17,conventional,2017,1.07,small,10704214.26
107,12-Oct-17,conventional,2017,1.03,small,11943914.54
108,12-Mar-17,conventional,2017,1.09,small,11746980
109,26-Nov-17,conventional,2017,1.24,small,9175316
110,19-Nov-17,conventional,2017,1.17,small,11173132
111,11-Dec-17,conventional,2017,1.15,small,11512837
112,11-May-17,conventional,2017,1.19,small,11042128.27
113,,conventional,2017,1.29,small,10596902.91
114,22-Oct-17,conventional,2017,1.44,small,9607586.96
115,15-Oct-17,conventional,2017,1.58,small,8769357.86
116,10-Aug-17,conventional,2017,1.65,small,8911144.2
117,10-Jan-17,conventional,2017,1.64,small,8342407.59
118,24-Sep-17,conventional,2017,1.62,small,8652381.39
119,17-Sep-17,conventional,2017,1.57,small,9153158.54
120,09-Oct-17,conventional,2017,,small,9496485.27
121,09-Mar-17,conventional,2017,1.57,small,9775062.87
122,27-Aug-17,conventional,2017,1.47,small,10735709.61
123,20-Aug-17,conventional,2017,1.41,small,10507928.78
124,13-Aug-17,conventional,2017,1.33,small,10952703.84
125,08-Jun-17,conventional,2017,1.33,small,11292580.44
126,30-Jul-17,conventional,2017,1.32,small,11112191.11
127,23-Jul-17,conventional,2017,1.31,small,11391055.98
128,16-Jul-17,conventional,2017,1.33,small,11155465.9
